ht 1 time	ht1 temp	ht2 time	ht2 temp	ht3 time	ht3 temp	ht4 time	ht4 temp	ht1 Arr	ht2 Arr	ht3 Arr	ht4 Arr	Ni at. %	Cr at. %	Co at. %	Al at. %	Ta at. %	W at. %	Ti at. %	Mo at. %	γ’ frac at. %	K_Ni	K_Cr	K_Co 	K_Al	K_Ta	K_W	K_Ti	K_Mo
3	1300	0.25	1180	8	1160	24	850	65.308447961	6.6268206754	2.6228369911	1.3805454309	65.5404123473	9.0448546291	6.6501446522	11.6202377131	2.6323964889	1.8694446153	1.3855883861	1.2569211681	70	1.2768777608	0.0664945062	0.427303044	7.8715983665	4.9436663038	0.7325742952	4.5199585217	0.2896692389
1	1280	5	1300	6	1100	20	850	62.6341988115	5.0421479158	2.5506817706	0	62.85	17.74	5.06	9.94	2.56	1.23	0	0.62	42.6704971851	1.3199781461	0.0623202301	0.2572178478	5.2398753894	24.5652173913	0.5103448276		0.1758241758
4	1300	0	20	0	20	0	20	66.4643944524	4.9824868831	0.8967450307	2.6901279818	66.7	9.6	5	12	0.9	3	2.7	0	71	1.2029609227	0.1395544346	0.41796875	3.3553719008	8.25	0.4755102041	6.8888888889	
4	1300	16	870	0	20	0	20	66.4643944524	4.9824868831	0.8967450307	2.6901279818	66.7	9.6	5	12	0.9	3	2.7	0	70.5	1.2567132116	0.0986717268	0.3212719298	4.0579710145	6.4	0.637075718	7.54	
4	1300	4	1080	16	870	0	20	66.4643944524	4.9824868831	0.8967450307	2.6901279818	66.7	9.6	5	12	0.9	3	2.7	0	73	1.2937707335	0.0987306065	0.3048648649	4.2748091603	16.75	0.6256684492	9.7894736842	
4	1300	32	1080	16	870	0	20	66.4643944524	4.9824868831	0.8967450307	2.6901279818	66.7	9.6	5	12	0.9	3	2.7	0	66	1.2673796791	0.1631578947	0.4166666667	3.5	5.9	0.5739130435	4.3714285714	
12	1232	1000	760	0	20	0	20	78.0686365252	0	0	0	78.34	15.19	0	6.47	0	0	0	0	3	0.9731758951	0.4664084413		2.6786610879				
12	1232	1000	760	0	20	0	20	77.141634868	0	0	0	77.41	14.95	0	6.44	0	0	0	1.2	10	1.0012919897	0.2665289256		3.075				1.5882352941
12	1232	1000	760	0	20	0	20	75.5269318855	0	0	0	75.79	14.6	0	6.5	0	0	0	3.11	14	1.000153426	0.2641805972		3.4507448342				1.033809166
12	1232	1000	760	0	20	0	20	73.6332059307	0	0	0	73.89	14.24	0	6.71	0	0	0	5.16	19	1.0388810341	0.2213932186		3.6961602671				0.6724253982
12	1232	1000	760	0	20	0	20	75.7964155678	0	0	0	76.06	15.06	0	8.88	0	0	0	0	18	0.994233911	0.4551562956		2.3312904324				
12	1232	1000	760	0	20	0	20	74.8993086451	0	0	0	75.16	14.81	0	8.85	0	0	0	1.18	23	1.0232780335	0.3251351952		2.4604979416				1.3832335329
12	1232	1000	760	0	20	0	20	73.38424365	0	0	0	73.64	14.43	0	8.96	0	0	0	2.97	30	1.0424361493	0.234935164		3.0829015544				0.9201877934
12	1232	1000	760	0	20	0	20	71.8293308043	0	0	0	72.08	14.05	0	9.07	0	0	0	4.8	33	1.0921737646	0.1705886891		3.096325167				0.6926515787
12	1232	1000	760	0	20	0	20	74.0814713095	0	0	0	74.34	14.05	0	11.61	0	0	0	0	34	1.0510077134	0.3958868895		1.7522123894				
12	1232	1000	760	0	20	0	20	72.895512364	0	0	0	73.15	13.94	0	11.76	0	0	0	1.15	42	1.117481203	0.2334786984		1.8412698413				1.2483443709
12	1232	1000	760	0	20	0	20	71.2011235932	0	0	0	71.45	13.59	0	12.12	0	0	0	2.84	47	1.1635102087	0.1257054061		2.2985710704				0.8516687268
12	1232	1000	760	0	20	0	20	69.785925244	0	0	0	70.03	13.42	0	12.09	0	0	0	4.46	48	1.1555214543	0.2133428469		2.021811285				0.7168405365
