,x1,T,G
0,0.0,0.0,0.028991722231510253
1,0.03125,0.0,0.035603961728578534
2,0.0625,0.0,0.048586007975994536
3,0.0,19.8,0.028876368041017324
4,0.03125,19.8,0.035364407752822014
5,0.0625,19.8,0.052367222363157294
6,0.0,39.5,0.021654823212394186
7,0.03125,39.5,0.03492812158253601
8,0.0625,39.5,0.09326946236718274
9,0.0,59.3,0.0007864708798202315
10,0.03125,59.3,0.03333156376956184
11,0.0625,59.3,0.14146647448771227
12,0.0,79.0,-0.023192798656681515
13,0.03125,79.0,0.03036851915238458
14,0.0625,79.0,0.17650358705556862
15,0.0,98.8,-0.04348857560294665
16,0.03125,98.8,0.026594527468882592
17,0.0625,98.8,0.19900801170773794
18,0.0,118.5,-0.05868736116854582
19,0.03125,118.5,0.022454814736446102
20,0.0625,118.5,0.21186146631204267
21,0.0,138.3,-0.07001837742454464
22,0.03125,138.3,0.01807011196493397
23,0.0625,138.3,0.21809020950513758
24,0.0,158.0,-0.07883173944897992
25,0.03125,158.0,0.013474034745615725
26,0.0625,158.0,0.21979147507056243
27,0.0,177.8,-0.08634638461334918
28,0.03125,177.8,0.008627051842921224
29,0.0625,177.8,0.21855964351121493
30,0.0,197.5,-0.0932730150806374
31,0.03125,197.5,0.003533106575677709
32,0.0625,197.5,0.2154056580186913
33,0.0,217.3,-0.10008458225649326
34,0.03125,217.3,-0.0018180324152501132
35,0.0625,217.3,0.21100593172586127
36,0.0,237.0,-0.1069730187430313
37,0.03125,237.0,-0.007396085852052038
38,0.0625,237.0,0.20578454028070198
39,0.0,256.8,-0.11404923693645225
40,0.03125,256.8,-0.013185986438697705
41,0.0625,256.8,0.19999750639270145
42,0.0,276.5,-0.12130257305265524
43,0.03125,276.5,-0.01915013984749117
44,0.0625,276.5,0.1938150392205007
45,0.0,296.3,-0.12872697197419192
46,0.03125,296.3,-0.025267935770576067
47,0.0625,296.3,0.18732614158441907
48,0.0,316.0,-0.13626155765598194
49,0.03125,316.0,-0.03150939347093868
50,0.0625,316.0,0.18059920382995429
51,0.0,335.8,-0.14387809762619513
52,0.03125,335.8,-0.03785784556516738
53,0.0625,335.8,0.1736604273801049
54,0.0,355.6,-0.15152612259541431
55,0.03125,355.6,-0.044295695565947424
56,0.0625,355.6,0.16653371951586363
57,0.0,375.3,-0.15916721562406155
58,0.03125,375.3,-0.05081423439181952
59,0.0625,375.3,0.15923131592762407
60,0.0,395.1,-0.1667846101219796
61,0.03125,395.1,-0.05740515592903476
62,0.0625,395.1,0.1517506672326896
63,0.0,414.8,-0.17435283383474198
64,0.03125,414.8,-0.06407061510087081
65,0.0625,414.8,0.1440961290638176
66,0.0,434.6,-0.181864575630495
67,0.03125,434.6,-0.07080610522265712
68,0.0625,434.6,0.136260017641751
69,0.0,454.3,-0.1893138445275618
70,0.03125,454.3,-0.0776231486060129
71,0.0625,454.3,0.12824138607801305
72,0.0,474.1,-0.19669868730706913
73,0.03125,474.1,-0.08451900335297165
74,0.0625,474.1,0.12003110413370147
75,0.0,493.8,-0.20402843478328575
76,0.03125,493.8,-0.09151179551386623
77,0.0625,493.8,0.11162628761723555
78,0.0,513.6,-0.2113033533102467
79,0.03125,513.6,-0.09859902991753129
80,0.0625,513.6,0.10301771368515242
81,0.0,533.3,-0.2185443311801052
82,0.03125,533.3,-0.10580277826112262
83,0.0625,533.3,0.09420261807346961
84,0.0,553.1,-0.22575104700169768
85,0.03125,553.1,-0.11311986614726446
86,0.0625,553.1,0.08517206505378976
87,0.0,572.8,-0.2329519480217177
88,0.03125,572.8,-0.12057433395760428
89,0.0625,572.8,0.07592453699215203
90,0.0,592.6,-0.24014522358126744
91,0.03125,592.6,-0.12816186008455144
92,0.0625,592.6,0.06645134627227028
93,0.0,612.3,-0.2473642719711407
94,0.03125,612.3,-0.13590688222648112
95,0.0625,612.3,0.05675299384097114
96,0.0,632.1,-0.25460438732662205
97,0.03125,632.1,-0.14380393523139767
98,0.0625,632.1,0.046820660678108514
99,0.0,651.9,-0.2618903637713609
100,0.03125,651.9,-0.15186936278682048
101,0.0625,651.9,0.03665375444646123
102,0.0,671.6,-0.26924886166275436
103,0.03125,671.6,-0.16011877210465708
104,0.0625,671.6,0.02625364029322141
105,0.0,691.4,-0.27667098607694296
106,0.03125,691.4,-0.16854526084350663
107,0.0625,691.4,0.015610783878107772
108,0.0,711.1,-0.2841943837932637
109,0.03125,711.1,-0.1771700776067638
110,0.0625,711.1,0.004732093836406
111,0.0,730.9,-0.29180711611587545
112,0.03125,730.9,-0.18598595931786543
113,0.0625,730.9,-0.006393072233474477
114,0.0,750.6,-0.29954667927730144
115,0.03125,750.6,-0.19501180109266675
116,0.0625,750.6,-0.017754998146536985
117,0.0,770.4,-0.3073988770855398
118,0.03125,770.4,-0.2042403389389172
119,0.0625,770.4,-0.029365666910879197
120,0.0,790.1,-0.31540010279332503
121,0.03125,790.1,-0.21368792034895645
122,0.0625,790.1,-0.041212580643759045
123,0.0,809.9,-0.3235347626560019
124,0.03125,809.9,-0.22334778208170208
125,0.0625,809.9,-0.05330935777622292
126,0.0,829.6,-0.3318371383144022
127,0.03125,829.6,-0.23323334457085396
128,0.0625,829.6,-0.06564066881355426
129,0.0,849.4,-0.3402906127041288
130,0.03125,849.4,-0.2433387772178377
131,0.0625,849.4,-0.07822212483386166
132,0.0,869.1,-0.34892723931228276
133,0.03125,869.1,-0.25367460316566315
134,0.0625,869.1,-0.0910355520883969
135,0.0,888.9,-0.3577302286761582
136,0.03125,888.9,-0.2642362117866619
